Team Name,Wins,Losses
Boston Bruins,44,24
Buffalo Sabres,31,30
Calgary Flames,46,26
Chicago Blackhawks,49,23
Detroit Red Wings,34,38
Edmonton Oilers,37,37
Hartford Whalers,31,38
Los Angeles Kings,46,24
Minnesota North Stars,27,39
Montreal Canadiens,39,30
New Jersey Devils,32,33
New York Islanders,25,45
New York Rangers,36,31
Philadelphia Flyers,33,37
Pittsburgh Penguins,41,33
Quebec Nordiques,16,50
St. Louis Blues,47,22
Toronto Maple Leafs,23,46
Vancouver Canucks,28,43
Washington Capitals,37,36
Winnipeg Jets,26,43
Boston Bruins,36,32
Buffalo Sabres,31,37
Calgary Flames,31,37
Chicago Blackhawks,36,29
